product_id,product_name,brand,category,primary_color,price,mrp,rating,gender,image_url,ajio_url
29573,Vans Men Edgemont Black Shoes,Vans,Casual Shoes,Black,999,1499,0.0,Men,29573.jpg,
37256,United Colors of Benetton Men Black Shoes,United,Casual Shoes,Black,999,1499,0.0,Men,37256.jpg,
22246,ID Men Green Casual Shoe,ID,Casual Shoes,Green,999,1499,0.0,Men,22246.jpg,
13360,Timberland Women Femmes Brown Boot,Timberland,Casual Shoes,Brown,999,1499,0.0,Women,13360.jpg,
6448,Lotto Men's Calcetto Brown Shoe,Lotto,Casual Shoes,Brown,999,1499,0.0,Men,6448.jpg,
56660,United Colors of Benetton Men Olive Shoes,United,Casual Shoes,Olive,999,1499,0.0,Men,56660.jpg,
39629,Nike Men Toki Premium Purple Casual Shoes,Nike,Casual Shoes,Purple,999,1499,0.0,Men,39629.jpg,
21569,Numero Uno Men Casual Black Shoes,Numero,Casual Shoes,Black,999,1499,0.0,Men,21569.jpg,
38660,Nike Men Braata Canvas Red Casual Shoes,Nike,Casual Shoes,Red,999,1499,0.0,Men,38660.jpg,
13538,Carlton London Men Casual Black Casual Shoes,Carlton,Casual Shoes,Black,999,1499,0.0,Men,13538.jpg,
35386,Enroute Teens Blue Shoes,Enroute,Casual Shoes,Blue,999,1499,0.0,Unisex,35386.jpg,
15513,Rockport Men Utara L2T Brown Casual Shoes,Rockport,Casual Shoes,Brown,999,1499,0.0,Men,15513.jpg,
10154,Rockport Men Bal Brown Casual Shoes,Rockport,Casual Shoes,Brown,999,1499,0.0,Men,10154.jpg,
13484,Rocia Women Rocia White  Sandal White Shoes,Rocia,Casual Shoes,White,999,1499,0.0,Women,13484.jpg,
3489,ADIDAS Men's Jawpaw Blue Shoe,ADIDAS,Casual Shoes,Blue,999,1499,0.0,Men,3489.jpg,
45866,Numero Uno Men Black Shoes,Numero,Casual Shoes,Black,999,1499,0.0,Men,45866.jpg,
38535,Puma Men White Benecio Shoes,Puma,Casual Shoes,White,999,1499,0.0,Men,38535.jpg,
57524,Provogue Men Black Casual Shoes,Provogue,Casual Shoes,Black,999,1499,0.0,Men,57524.jpg,
13077,Numero Uno Men White Casual Shoes,Numero,Casual Shoes,White,999,1499,0.0,Men,13077.jpg,
42274,Vans Unisex Black Era Shoes,Vans,Casual Shoes,Black,999,1499,0.0,Unisex,42274.jpg,
